id,value,location,kills,health,title
1,1943,S002,0,frasi,Dieci soldi in plastilina
2,1943,S002,0,misto,Dieci soldi in plastilina
3,1943,S002,1,parole,Dieci soldi in plastilina
4,1943,S002,3,sintagmi,Dieci soldi in plastilina
5,1945,S004,6,frasi,Angoscia in caserma
6,1945,S004,1,misto,Angoscia in caserma
7,1945,S004,4,parole,Angoscia in caserma
8,1945,S004,8,sintagmi,Angoscia in caserma
9,1946,S006,2,frasi,Di padre in figlio
10,1946,S006,0,misto,Di padre in figlio
11,1946,S006,0,parole,Di padre in figlio
12,1946,S006,0,sintagmi,Di padre in figlio
13,1946,S007,2,frasi,Paura sul sentiero
14,1946,S007,1,misto,Paura sul sentiero
15,1946,S007,0,parole,Paura sul sentiero
16,1946,S007,1,sintagmi,Paura sul sentiero
17,1946,S008,0,frasi,E il settimo si riposò
18,1946,S008,1,misto,E il settimo si riposò
19,1946,S008,1,parole,E il settimo si riposò
20,1946,S008,2,sintagmi,E il settimo si riposò
21,1946,S009,0,frasi,Uomo nei gerbidi
22,1946,S009,0,misto,Uomo nei gerbidi
23,1946,S009,1,parole,Uomo nei gerbidi
24,1946,S009,1,sintagmi,Uomo nei gerbidi
25,1946,S010,1,frasi,Campo di mine
26,1946,S010,1,misto,Campo di mine
27,1946,S010,0,parole,Campo di mine
28,1946,S010,1,sintagmi,Campo di mine
29,1946,S011,3,frasi,I fratelli Bagnasco
30,1946,S011,0,misto,I fratelli Bagnasco
31,1946,S011,0,parole,I fratelli Bagnasco
32,1946,S011,1,sintagmi,I fratelli Bagnasco
33,1946,S012,0,frasi,Ragionamento del cugino
34,1946,S012,1,misto,Ragionamento del cugino
35,1946,S012,1,parole,Ragionamento del cugino
36,1946,S012,0,sintagmi,Ragionamento del cugino
37,1946,S013,3,frasi,Cinque dopodomani: guerra finita!
38,1946,S013,0,misto,Cinque dopodomani: guerra finita!
39,1946,S013,1,parole,Cinque dopodomani: guerra finita!
40,1946,S013,1,sintagmi,Cinque dopodomani: guerra finita!
41,1947,S014,0,frasi,Alba sui rami nudi
42,1947,S014,0,misto,Alba sui rami nudi
43,1947,S014,0,parole,Alba sui rami nudi
44,1947,S014,1,sintagmi,Alba sui rami nudi
45,1947,S015,3,frasi,Come non fui Noè (Buon a nulla)
46,1947,S015,0,misto,Come non fui Noè (Buon a nulla)
47,1947,S015,0,parole,Come non fui Noè (Buon a nulla)
48,1947,S015,0,sintagmi,Come non fui Noè (Buon a nulla)
49,1947,S016,1,frasi,Ultimo viene il corvo
50,1947,S016,0,misto,Ultimo viene il corvo
51,1947,S016,2,parole,Ultimo viene il corvo
52,1947,S016,1,sintagmi,Ultimo viene il corvo
53,1947,S017,0,frasi,Visti alla mensa
54,1947,S017,1,misto,Visti alla mensa
55,1947,S017,0,parole,Visti alla mensa
56,1947,S017,0,sintagmi,Visti alla mensa
57,1947,S018,4,frasi,L'occhio del padrone
58,1947,S018,0,misto,L'occhio del padrone
59,1947,S018,0,parole,L'occhio del padrone
60,1947,S018,0,sintagmi,L'occhio del padrone
61,1947,S019,3,frasi,Come un volo d'anitre
62,1947,S019,0,misto,Come un volo d'anitre
63,1947,S019,1,parole,Come un volo d'anitre
